,Nickname,Review,Hashtag
1421,time2drink_coffee,,"그리너리,greenery,세종시카페"
1422,comoosoo, 점심으로 먹은 우동 간단하게 먹기 좋다 새우튀김우동이라 새우튀김도 2개 같이 나옴 맛있게 잘 먹고왔다 . . .,"가츠신,합정,홍대,합정맛집,합정역맛집,홍대맛집,합정데이트,홍대돈까스,홍대데이트,홍대핫플,돈까스,돈까스맛집,치즈돈까스,오이시가츠,맛집,푸드스타그램,맛스타그램,먹스타그램,선팔,맞팔,럽스타그램,일상,데일리,존맛탱,JMT,food,daily,delicious,foodstagram"
1423,kgm868686, 2019.05.19. 매운맛이 더 고소하니 맛남 순한맛도 괜찮다 ㅋ,"서면,롯데백화점,탄탄면공방,탄탄세트,맛있당,매운맛,순한맛,먹스타그램,냠냠,굿"
1424,yun.sojin,,"땀복추천,부스터슈트,야광형광컬러,아침조깅,중랑천,땀엄청나옴,땀줄줄,목표몸무게까지"
1425,cafe_onni, 오랜만에 온,"투썸,투썸플레이스,클래식쇼콜라케이크,제천카페,카페스타그램,카페투어,onni_제천"
1426,hh_hhm_, 시골에 이런 예쁜곳이 . . .,"경주,경주카페,헬로우하비비씨,카페,분위기맛집,불고기피자,피자쫀득쫀득,존맛탱,카페스타그램,카페투어,일상,데일리"
1427,yun.sojin,,"시가정맛집,모모,배터져,술스타그램"
1428,kgm868686, 2018.5.5.,"가족여행,전남여행,보성녹차밭,푸릇푸릇,여행스타그램,좋다,힐링"
1429,beatus__utopia, 찐~한 고르곤졸라,"찌니_노원,스윗레시피"
1430,kgm868686, 2018.4.21.,"저녁,선물받은,마가목주,울릉도명주,약주,완전,맛있당,감솨요,술스타그램"
1431,cafe_onni,,"제천카페,청전동카페,엔제리너스,Angelinus,카페스타그램,카페투어,onni_제천"
1432,cafe_onni,,"원주카페,원주빅토리아,빅토리아베이커리,단계동카페,봉화산택지카페,까눌레,원주빵집,원주베이커리,카페스타그램,카페투어,onni_원주"
1433,kgm868686, 2017.3.2. 한나언니 저녁 못먹어서 빵사러갔다가 그냥 커피까지 완전 또 배터지게 먹음 살안빠지겠지만 너무 맛있쪙,"서면,뚜레쥬르,빵은,디저트,배는,따로있음ㅋ,먹스타그램"
1434,time2drink_coffee,,"다방,dabang,세종시카페"
1435,kgm868686, 2018.10.21. 제2석굴암 가기 전에 들른 카페ㅎㅎ,"군위여행,친구들이랑,제2석굴암,근처,803로스터리,카페,완전,크고,넓다,이카페,완전,좋다,카페스타그램,카페인은필수ㅋ"
1436,kgm868686, 2018.12.12.,"저녁,부모님이랑,두부김치,어묵탕,막걸리,몹맛,JMT,술술,먹스타그램,술스타그램,굿"
1437,comoosoo, 영등포 데이트하면서 들린 맘스터치 영등포점 영등포 핫플레이스라 역시 언제가도 인기만점 요번에도 역시 맛있게 먹었다 다음에 친구랑 또 가야지! 맘스터치는 사랑입니다 . . .,"맘스터치,일상,소통,선팔,맞팔,팔로우,맛스타그램,먹스타그램,영등포맛집,영등포데이트,영등포맛집,영등포밥집,영등포데이트,영등포,럽스타그램,데이트,오오티디,맛집탐방,야식,영등포역맛집,영등포맘스터치,영등포햄버거,영등포데이트코스,f4f,daily,date,followforfollowback"
1438,yun.sojin,,"수수카페,남양주수수카페,분위기좋은카페,즐거운일요일,카페맛집,친구랑"
1439,kgm868686, 2017.2.23. 쌀국수는 못찍음 ㅋ,"더포센트럴스퀘어점,서면,모임,월남쌈,게살볶음밥,쌀국수,베트남요리집,먹스타그램"
1440,cafe_onni,,"비스트로리버,River,단양카페,카페스타그램,카페투어,onni_단양"
1441,kgm868686, 2019.11.07. 낮에는 82년생 김지영 보고 저녁에는 일찍 도착해서 한잔 마시면서 12월에 예매해놓은 도 찍고 맘마미아는 예전에 한번 보고 두번째로 보는데도 재미있다. 이랑 는 예전과 그대로 ㅎㅎ 나머지 배우들은 다 다르네 예쁘다 ㅎㅎ,"문화생활,나에게,문화의날,드림씨어터,맘마미아,뮤지컬,감상,비서모임,커피,오페라의유령,팜플렛,최정원,남경주,홍지민,좋아요,재밌다,역시,노래,소통,공연스타그램"
1442,kgm868686, 2020.04.11.,"토요일,저녁,잡채,막걸리,술안주,맛있다,먹스타그램,술스타그램,먹방,일상,소통,좋아요,굿"
1443,comoosoo, 비포그레이 스트로베리밀크 비주얼도 넘 예쁘고 딸기과육이 듬뿍 맛없을 수 없는....딸기라떼 . . .,"카페,합정카페,합정역카페,홍대카페,상수카페,비포그레이,스트로베리밀크,푸드스타그램,홍대맛집,합정맛집,상수맛집,상수역맛집,합정역맛집,홍대,합정,상수,맛스타그램,먹스타그램,디저트,분위기좋은카페,선팔,맞팔,일상,데일리,food,daily,cafe,dessert,fff,f4f"
1444,kgm868686, 2019.03.27. 꽃보니 너무 좋당 도 많이 피고 만개한것도 많고,"봄,회사,환경조성,꽃화분,이쁘다,산책,따뜻함,부산시청공원,유채꽃만개,이쁘다,벚꽃,봄탄다,엉덩이들썩"
1445,comet.way, 카페 가는 길은 늘 두근두근 코로나로 벚꽃 축제가 다 취소됐지만 올해들어 벚꽃을 가장 많이 본거 같다. 가는 곳마다 벚꽃,"블루보틀,블루보틀한남,나인원한남,한남동카페,이태원카페,한강진카페,카페기록,드립커피,아이스라떼,밍밍한뉴올리언스보단그냥라떼,우유때문에감칠맛나지만대체로가벼운맛이내취향은아님"
1446,comet.way, 따뜻한 느낌의 조명이 좋았다 커피는 살짝 아쉬운.. ㅡ2018년 10월,"연남온도,연남동카페,필름사진,필름카메라"
1447,comoosoo, 어반앨리스 디저트도 맛있고 분위기도 좋았던 곳 초코 가나슈 타르트 추천 . . .,"카페투어,이대카페,이대,카페,디저트,어반앨리스,이대디저트,커피,카페투어,타르트,cafe,coffee,dessert,cafetour,urbanalice"
1448,taxxy._.gram, 초벌되어 나오는데 완전 육즙가득 두께도 있어서 식감이 좋고 부드럽네요^^ . . . . . . . .,"먹스타그램,먹스타,일상스타그램,먹방,맛집,맛집스타그램,맛스타그램,음식,음식사진,음식스타그램,맞팔,존맛,선팔,좋아요,좋아요반사,좋반,foodie,푸드스타그램,소통,팔로우환영,선팔맞팔환영,먹스타맞팔,데일리,daily,l4l,f4f,foodstagram,제주근고기,식사동맛집,위시티맛집"
1449,by_karong, 하이데어. . . . . place: . : . 달달구리..사람많아요.. site: .,"소소한기록,카페탐방,카페스타그램,hithere,하이데어,디저트카페,디저트맛집,카라멜라떼,을지로카페,하이데어,하이데어카페,을지로카페,을지로카페추천,카페투어,카페그램,카페기록,커피스타그램,카페탐방,팔로우환영,팔로우,팔로우백,카페추천,카페공유,선팔하면맞팔가요,선팔하면맞팔,catstagram,cafe,coffee,coffeelover,follow4followback,followforfollowbacks"
1450,kgm868686, 2018.5.24. 요며칠 회사 테라스에 까치소리가 자꾸나서 아! 짝짓기 시긴가보네 했는데 4마리가 보초서듯 돌아가며 모여있길래 몰래 봤더니 구멍에 집짓고 있다,"까치,집짓는중,구멍에다,비와서,떠내려가진않겠지"
1451,foodie_mingg,  . . .,"창원가로수길,푸밍_창원,각자의오늘,하이파이브,창원,창원가로수길,창원카페,창원맛집,창원가로수길맛집,창원가로수길카페,창원용호동맛집,창원용호동카페,창원용호동,용호동맛집,용호동카페,카페,카페투어,카페탐방,맛집,맛집추천,맛스타그램,먹방,먹스타,수제버거,수제버거맛집,창원하이파이브"
1452,o_ourcafe," - 밤에 가도 좋은,,",산토리니
1453,kgm868686, 2020.03.11.,"일회용밴드,밴드골드,델몬트,망고주스,감사합니다,잘마실게요,잘쓸게용,일상,소통,좋아요,굿,직장인스타그램"
1454,c.eunae_, drowsy afternoon,"드라우지에프터눈,은애_카페기록,청라카페,서구카페"
1455,cafe_030, 할로윈때 갔던 신촌 박스퀘어 heyjin 밀크티랑 치즈케이크 꾸덕꾸덕하고 찌이인하고 맛있었다 다른 것도 시식해보라며 주셨던 친절했던 사장님.. 다시 먹고시프다,"heyjin,헤이진,신촌,신촌박스퀘어,밀크티,치즈케이크,달달,cafe,dessert,milktea,cake"
